,place,movie_title,rating,year,star_cast
162,163,El secreto de sus ojos,8.118016912987766,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
163,164,Hauru no ugoku shiro,8.117395613970407,2004,"Hayao Miyazaki (dir.), Chieko Baisho, Takuya Kimura"
164,165,"Three Billboards Outside Ebbing, Missouri",8.11142858725564,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
165,166,The Bridge on the River Kwai,8.110828570369607,1957,"David Lean (dir.), William Holden, Alec Guinness"
166,167,Trainspotting,8.110480494503516,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
167,168,Prisoners,8.10586132780933,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
168,169,Warrior,8.102687595519182,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
169,170,Fargo,8.102521660864051,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
170,171,Gran Torino,8.100552096831535,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
171,172,Tonari no Totoro,8.092478984834525,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
172,173,Catch Me If You Can,8.091275502884809,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
173,174,Million Dollar Baby,8.088772782850546,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
174,175,Bacheha-Ye aseman,8.086457719995597,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
175,176,Blade Runner,8.084873046377139,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
176,177,The Gold Rush,8.08423564585412,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
177,178,Before Sunrise,8.081161538171582,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
178,179,Klaus,8.081045061927304,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
179,180,12 Years a Slave,8.0805853552282,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
180,181,Harry Potter and the Deathly Hallows: Part 2,8.080582045274275,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
181,182,On the Waterfront,8.079231119806535,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
182,183,Ben-Hur,8.077885746121499,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
